id_ambulancia,t0,n_pm_w,n_cm_w,n_total_mant_w,dias_desde_ultima_interv,n_eventos_vehicular_w,n_eventos_electrico_w,n_eventos_equipamiento_w,n_episodios_downtime_w,downtime_total_dias_w,downtime_promedio_dias_w,disponibilidad_w,km_en_w,servicios_en_w,equipamiento_funcional,y_inoperativa_14
AMB-T2-001,2024-03-01,1,2,3,18,1,1,1,1,1.4,1.4,0.9767,7370.0,98,0,0
AMB-T2-001,2024-03-08,0,2,2,25,0,1,1,1,1.4,1.4,0.9767,7370.0,98,0,0
AMB-T2-001,2024-03-15,0,2,2,32,0,1,1,1,1.4,1.4,0.9767,7370.0,98,0,0
AMB-T2-001,2024-03-22,0,2,2,39,0,1,1,1,1.4,1.4,0.9767,7370.0,98,0,0
AMB-T2-001,2024-03-29,0,2,2,46,0,1,1,1,1.4,1.4,0.9767,7370.0,98,0,0
AMB-T2-001,2024-04-05,0,1,1,53,0,0,1,0,0.0,0.0,1.0,6963.0,102,0,0
AMB-T2-001,2024-04-12,0,0,0,60,0,0,0,0,0.0,0.0,1.0,6963.0,102,1,0
AMB-T2-001,2024-04-19,0,0,0,60,0,0,0,0,0.0,0.0,1.0,6963.0,102,1,0
AMB-T2-001,2024-04-26,0,0,0,60,0,0,0,0,0.0,0.0,1.0,6963.0,102,1,1
AMB-T2-001,2024-05-03,0,0,0,60,0,0,0,0,0.0,0.0,1.0,6689.0,118,1,1
AMB-T2-001,2024-05-10,0,1,1,0,1,0,0,1,4.1,4.1,0.9317,6689.0,118,1,0
AMB-T2-001,2024-05-17,0,1,1,7,1,0,0,1,4.1,4.1,0.9317,6689.0,118,1,0
AMB-T2-001,2024-05-24,0,1,1,14,1,0,0,1,4.1,4.1,0.9317,6689.0,118,1,1
AMB-T2-001,2024-05-31,0,1,1,21,1,0,0,1,4.1,4.1,0.9317,3187.0,60,1,1
AMB-T2-001,2024-06-07,0,2,2,1,1,1,0,2,4.6,2.3,0.9233,7294.0,118,1,0
AMB-T2-001,2024-06-14,0,2,2,8,1,1,0,2,4.6,2.3,0.9233,7294.0,118,1,0
AMB-T2-001,2024-06-21,0,2,2,15,1,1,0,2,4.6,2.3,0.9233,7294.0,118,1,0
AMB-T2-001,2024-06-28,0,2,2,22,1,1,0,2,4.6,2.3,0.9233,7294.0,118,1,0
AMB-T2-001,2024-07-05,1,2,3,3,2,1,0,2,4.6,2.3,0.9233,8328.0,109,1,0
AMB-T2-001,2024-07-12,1,1,2,10,1,1,0,1,0.5,0.5,0.9917,8328.0,109,1,0
AMB-T2-001,2024-07-19,1,1,2,17,1,1,0,1,0.5,0.5,0.9917,8328.0,109,1,0
AMB-T2-001,2024-07-26,1,1,2,24,1,1,0,1,0.5,0.5,0.9917,8328.0,109,1,0
AMB-T2-001,2024-08-02,1,1,2,31,1,1,0,1,0.5,0.5,0.9917,8646.0,113,1,0
AMB-T2-001,2024-08-09,1,0,1,38,1,0,0,0,0.0,0.0,1.0,8646.0,113,1,0
AMB-T2-001,2024-08-16,1,0,1,45,1,0,0,0,0.0,0.0,1.0,8646.0,113,1,0
AMB-T2-001,2024-08-23,1,0,1,52,1,0,0,0,0.0,0.0,1.0,8646.0,113,1,0
AMB-T2-001,2024-08-30,1,0,1,59,1,0,0,0,0.0,0.0,1.0,4425.0,62,1,0
AMB-T2-001,2024-09-06,0,0,0,60,0,0,0,0,0.0,0.0,1.0,9176.0,152,1,0
AMB-T2-001,2024-09-13,0,0,0,60,0,0,0,0,0.0,0.0,1.0,9176.0,152,1,0
AMB-T2-001,2024-09-20,0,0,0,60,0,0,0,0,0.0,0.0,1.0,9176.0,152,1,0
AMB-T2-001,2024-09-27,0,0,0,60,0,0,0,0,0.0,0.0,1.0,9176.0,152,1,0
AMB-T2-001,2024-10-04,0,0,0,60,0,0,0,0,0.0,0.0,1.0,8292.0,146,1,0
AMB-T2-001,2024-10-11,0,0,0,60,0,0,0,0,0.0,0.0,1.0,8292.0,146,1,1
AMB-T2-001,2024-10-18,0,0,0,60,0,0,0,0,0.0,0.0,1.0,8292.0,146,1,1
AMB-T2-001,2024-10-25,0,3,3,2,2,0,1,1,2.3,2.3,0.9617,8292.0,146,0,1
AMB-T2-001,2024-11-01,0,4,4,1,2,0,2,2,3.8,1.9,0.9367,7217.0,124,0,0
AMB-T2-001,2024-11-08,0,4,4,8,2,0,2,2,3.8,1.9,0.9367,7217.0,124,0,0
AMB-T2-001,2024-11-15,0,4,4,15,2,0,2,2,3.8,1.9,0.9367,7217.0,124,0,1
AMB-T2-001,2024-11-22,0,4,4,22,2,0,2,2,3.8,1.9,0.9367,7217.0,124,0,1
AMB-T2-001,2024-11-29,0,5,5,3,2,0,3,3,4.5,1.5,0.925,7217.0,124,0,1
AMB-T2-001,2024-12-06,0,6,6,5,2,0,4,4,6.0,1.5,0.9,8295.0,121,0,1
AMB-T2-001,2024-12-13,0,7,7,4,2,1,4,5,10.7,2.14,0.8217,8295.0,121,0,0
AMB-T2-001,2024-12-20,0,7,7,11,2,1,4,5,10.7,2.14,0.8217,8295.0,121,0,0
AMB-T2-001,2024-12-27,0,4,4,18,0,1,3,4,8.4,2.1,0.86,8295.0,121,0,0
AMB-T2-002,2024-03-01,1,0,1,49,0,1,0,0,0.0,0.0,1.0,6531.0,120,1,0
AMB-T2-002,2024-03-08,1,0,1,56,0,1,0,0,0.0,0.0,1.0,6531.0,120,1,0
AMB-T2-002,2024-03-15,0,0,0,60,0,0,0,0,0.0,0.0,1.0,6531.0,120,1,0
AMB-T2-002,2024-03-22,0,0,0,60,0,0,0,0,0.0,0.0,1.0,6531.0,120,1,0
AMB-T2-002,2024-03-29,0,0,0,60,0,0,0,0,0.0,0.0,1.0,6531.0,120,1,0
AMB-T2-002,2024-04-05,0,0,0,60,0,0,0,0,0.0,0.0,1.0,5985.0,106,1,0
AMB-T2-002,2024-04-12,0,0,0,60,0,0,0,0,0.0,0.0,1.0,5985.0,106,1,0
AMB-T2-002,2024-04-19,0,0,0,60,0,0,0,0,0.0,0.0,1.0,5985.0,106,1,0
AMB-T2-002,2024-04-26,0,0,0,60,0,0,0,0,0.0,0.0,1.0,5985.0,106,1,0
AMB-T2-002,2024-05-03,0,0,0,60,0,0,0,0,0.0,0.0,1.0,5852.0,116,1,0
AMB-T2-002,2024-05-10,0,0,0,60,0,0,0,0,0.0,0.0,1.0,5852.0,116,1,0
AMB-T2-002,2024-05-17,0,0,0,60,0,0,0,0,0.0,0.0,1.0,5852.0,116,1,0
